schema_version,M,K,N,array_n,buffer_kb,data_bytes,clock_hz,schedule,arbiter,dma,dma_outstanding,queue_depth,noc_latency,hbm_bw_GBps,hbm_lat_cyc,interconnect_bw_GBps,buf_bw_Bpc,time_resolution_s,sim_ticks,sim_s,requests,ic_requests,bytes,passes,macs,useful_ops,executed_ops,useful_ops_s,executed_ops_s,useful_ai,executed_ai,avg_queue_ns,queue_full,stall_ns,grants,case_id,group
1,64,64,64,32,256,1,1000000000,serial,fifo,1,4,16,0,256,100,256,64,1e-12,3168000,3.1680000000000004e-06,20,20,20480,8,262144,524288,524288,165494949494.94946,165494949494.94946,25.6,25.6,0,0,0,[20],v_array_32,validation
1,16,16,16,16,256,1,1000000000,serial,fifo,1,4,16,2,256,100,256,64,1e-12,369000,3.6900000000000004e-07,3,3,768,1,4096,8192,8192,22200542005.42005,22200542005.42005,10.666666666666666,10.666666666666666,0,0,0,[3],v_noc_2,validation
1,16,16,16,16,256,1,1000000000,serial,fifo,1,4,16,10,256,100,256,64,1e-12,393000,3.9300000000000004e-07,3,3,768,1,4096,8192,8192,20844783715.012722,20844783715.012722,10.666666666666666,10.666666666666666,0,0,0,[3],v_noc_10,validation
1,32,32,32,16,256,1,1000000000,double,fifo,1,4,16,0,256,100,256,64,1e-12,1025000,1.0250000000000001e-06,20,20,5120,8,32768,65536,65536,63937560975.60975,63937560975.60975,12.8,12.8,0.4,0,0,[20],v_repeat,validation
1,32,32,32,16,256,1,1000000000,serial,fifo,1,4,16,0,256,100,256,64,1e-12,2484000,2.4840000000000003e-06,20,20,5120,8,32768,65536,65536,26383252818.035423,26383252818.035423,12.8,12.8,0,0,0,[20],e1_32_serial,E1
1,32,32,32,16,256,1,1000000000,paired,fifo,1,4,16,0,256,100,256,64,1e-12,1676000,1.6760000000000001e-06,20,20,5120,8,32768,65536,65536,39102625298.32935,39102625298.32935,12.8,12.8,0.4,0,0,[20],e1_32_paired,E1
1,32,32,32,16,256,1,1000000000,double,fifo,1,4,16,0,256,100,256,64,1e-12,1025000,1.0250000000000001e-06,20,20,5120,8,32768,65536,65536,63937560975.60975,63937560975.60975,12.8,12.8,0.4,0,0,[20],e1_32_double,E1
1,128,128,128,16,256,1,1000000000,serial,fifo,1,4,16,0,256,100,256,64,1e-12,138816000,0.00013881600000000002,1088,1088,278528,512,2097152,4194304,4194304,30214845550.945133,30214845550.945133,15.058823529411764,15.058823529411764,0,0,0,[1088],e1_128_serial,E1
1,128,128,128,16,256,1,1000000000,paired,fifo,1,4,16,0,256,100,256,64,1e-12,87104000,8.710400000000001e-05,1088,1088,278528,512,2097152,4194304,4194304,48152828802.351204,48152828802.351204,15.058823529411764,15.058823529411764,0.47058823529411764,0,0,[1088],e1_128_paired,E1
1,128,128,128,16,256,1,1000000000,double,fifo,1,4,16,0,256,100,256,64,1e-12,55961000,5.5961e-05,1088,1088,278528,512,2097152,4194304,4194304,74950483372.3486,74950483372.3486,15.058823529411764,15.058823529411764,0.47058823529411764,0,0,[1088],e1_128_double,E1
1,512,512,512,16,256,1,1000000000,serial,fifo,1,4,16,0,256,100,256,64,1e-12,8561664000,0.008561664,66560,66560,17039360,32768,134217728,268435456,268435456,31353187417.772995,31353187417.772995,15.753846153846155,15.753846153846155,0,0,0,[66560],e1_512_serial,E1
1,512,512,512,16,256,1,1000000000,paired,fifo,1,4,16,0,256,100,256,64,1e-12,5252096000,0.005252096,66560,66560,17039360,32768,134217728,268435456,268435456,51110157925.52154,51110157925.52154,15.753846153846155,15.753846153846155,0.49230769230769234,0,0,[66560],e1_512_paired,E1
1,512,512,512,16,256,1,1000000000,double,fifo,1,4,16,0,256,100,256,64,1e-12,3571865000,0.0035718650000000005,66560,66560,17039360,32768,134217728,268435456,268435456,75152744014.6814,75152744014.6814,15.753846153846155,15.753846153846155,0.49230769230769234,0,0,[66560],e1_512_double,E1
1,128,128,128,16,256,1,1000000000,double,fifo,1,4,16,0,256,100,8,64,1e-12,70297000,7.029700000000001e-05,1088,1088,278528,512,2097152,4194304,4194304,59665476478.37034,59665476478.37034,15.058823529411764,15.058823529411764,15.753676470588239,0,0,[1088],e2_8,E2
1,128,128,128,16,256,1,1000000000,double,fifo,1,4,16,0,256,100,16,64,1e-12,62105000,6.2105e-05,1088,1088,278528,512,2097152,4194304,4194304,67535689558.0066,67535689558.0066,15.058823529411764,15.058823529411764,7.529411764705882,0,0,[1088],e2_16,E2
1,128,128,128,16,256,1,1000000000,double,fifo,1,4,16,0,256,100,32,64,1e-12,58009000,5.8009000000000007e-05,1088,1088,278528,512,2097152,4194304,4194304,72304366563.80905,72304366563.80905,15.058823529411764,15.058823529411764,3.764705882352941,0,0,[1088],e2_32,E2
